beta_log__,sigma_log__,gamma_log__,kappa_log__,tint_log__,dispersion,beta,sigma,gamma,kappa,tint
-15.88946292981977,-2.187178965807189,-1.3156600491861474,-2.567986455431604,2.4288823105033943,6.589563545836897,1.2568803286507162e-07,0.112232915340818,0.26829717545023946,0.07668980841126938,11.346193469091942
-16.15931596200594,-2.0674510803836634,-1.909524758456247,-2.998509952790527,2.474904166575362,5.064761261173153,9.596176922785252e-08,0.1265078293817881,0.14815077727194967,0.04986130874725244,11.88056850297553
-16.098502424048203,-2.1759246904963736,-1.806242192249884,-2.9762589165377027,2.6018227816370287,5.371910890664119,1.0197864339674014e-07,0.11350314984625512,0.16427027452482748,0.050983209980104506,13.488301869910082
-15.702710235731985,-2.282904568108994,-1.0217893740043087,-2.437090550393381,2.4474046009838446,7.140538314552135,1.5149545147243013e-07,0.10198754631439294,0.3599502779040101,0.08741481082882493,11.55830933191341
-15.740263592092468,-2.112614684101735,-0.8720364044700617,-2.1727207080837077,2.4079480884814375,8.828539893581276,1.459117876386984e-07,0.12092138151516085,0.41809926253477975,0.11386739514831884,11.111138664807115
-15.593707632440633,-2.4340333307880226,-1.0155113749231512,-2.5849383449194505,2.487590967155966,8.19651942570159,1.6894246353591565e-07,0.08768246603418822,0.36221715369460783,0.07540072829579504,12.032255080483973
-15.717872138038429,-2.3604551249435697,-1.0436941299405136,-2.5051652418550745,2.677582602775634,7.3420615279906025,1.4921581770024905e-07,0.09437725997510671,0.35215138319516587,0.08166210287297745,14.549877913763032
-15.976999397074774,-1.9789926793499555,-1.4029533305921746,-2.5106871901404717,2.100541554308731,6.3304660586925126,1.1515354824127593e-07,0.13820838737737345,0.2458697559554253,0.08121241169241925,8.170593534777352
-16.03440481744303,-2.0856214729618983,-1.5064604601663534,-2.607710177988566,2.42637859430107,7.897571173933923,1.0872926873816166e-07,0.1242298906521379,0.22169328307805744,0.07370311770847511,11.317821353352711
-15.76839487035446,-2.340434411679987,-1.1816198733508716,-2.568682457946802,2.5448581417972074,7.220453955991476,1.4186429995781033e-07,0.09628580146718736,0.30678138889170536,0.07663645068243576,12.741420482846161
-16.188646931758395,-1.8835997979859884,-1.6121784540499506,-2.4862254187582793,2.3256194409336968,5.272846045691984,9.318799507510387e-08,0.15204179968914164,0.19945264204803376,0.08322350835194908,10.233016872481869
-15.864782802011174,-2.1363917292110846,-1.1423638076072125,-2.3359327893884223,2.39872916100368,8.121987006204257,1.2882862527938504e-07,0.118080140387626,0.31906392398420097,0.09672022083978793,11.009176595854168
-16.040339104990757,-2.1557513690442667,-1.664306474179308,-2.764869195648387,2.3966470332946384,4.947131917384721,1.0808594870356685e-07,0.11581613725201632,0.18932191209712432,0.06298433743463447,10.98627793145466
-16.06142510211965,-2.095544113707544,-1.6559199900439523,-2.761599781048602,2.3685777084954576,5.238405531178509,1.0583070924552362e-07,0.12300329766217238,0.19091633376035122,0.06319059633620677,10.682188288764342
-16.030002897357814,-2.157271975948183,-1.5501252537942898,-2.6818808879729654,2.5283135327578576,7.336762233386178,1.0920894125556827e-07,0.115640160263946,0.21222139062754897,0.06843431574553036,12.532352901927055
-15.981358221735197,-2.1833386685954514,-1.6271510035086796,-2.7559674363535462,2.227276552488211,5.731185342799944,1.1465270644921594e-07,0.11266475175202689,0.19648857271053882,0.06354751174802735,9.274572840387663
-15.985536202378707,-2.10067474014953,-1.4716019362900286,-2.593686345358003,2.3512292606963836,6.058849483820826,1.1417468893025276e-07,0.12237382985363351,0.22955745406790679,0.0747439994120248,10.498467148993651
-15.855347383316111,-1.987364850989187,-0.9375762998845197,-2.1074838043978863,2.3935967896642034,7.204346992229267,1.3004992999873873e-07,0.13705611328505274,0.39157574835257714,0.12154340898678283,10.952818163336772
-15.746930938437162,-2.1898421488853423,-1.116259953791526,-2.4459271846194106,2.164046312349621,8.397937695174287,1.449421791643685e-07,0.11193441619523373,0.32750238097141715,0.08664576102981617,8.706294870418589
-15.889259158967453,-2.157587935748982,-1.3024360751705215,-2.515270757021051,2.37633964431265,8.752921269924755,1.257136470322762e-07,0.11560362839354975,0.27186869310838535,0.08084102096921794,10.76542537119182
-15.87159419380574,-2.1350401478053005,-1.2696581742169473,-2.517967968353235,2.34132460270428,9.188908905582199,1.2795410477027838e-07,0.11823984321113792,0.2809276336761363,0.08062326944430566,10.394996688094315
-15.96493884094608,-2.1632972496480134,-1.3722538024782187,-2.5318022569590797,2.4879100771610623,7.762144434390437,1.1655077278950065e-07,0.11494549153387688,0.25353489755715436,0.07951558355598173,12.036095306158655
-15.839992753094394,-2.3296659304733027,-1.3940153563944968,-2.7195585578788646,2.4269369624670216,5.334061970915194,1.3206220794090052e-07,0.09732825606353906,0.2480771837610797,0.06590384073721525,11.3241426291397
-15.895568378850232,-2.2443848624001137,-1.3234370767267922,-2.6277663986897455,2.5997557687761548,6.52628536857186,1.2492298883186293e-07,0.1059927204317896,0.26621871353128984,0.07223963671922115,13.460450171299701
-15.903603330229888,-1.9827147937093597,-1.1308113603493821,-2.2837617988424532,2.2683886651184606,7.0028774524100745,1.2392326045342424e-07,0.13769491614625545,0.3227712663450129,0.1019001569170522,9.663816616960828
-16.0157320810917,-2.0903635507700384,-1.4222114926300258,-2.4917583652553352,2.4109314227828165,6.3045253220944035,1.1077861561865798e-07,0.12364217743680667,0.24118005876994517,0.08276430866805676,11.144336401263725
-16.022877720293494,-2.0947688934692112,-1.405570528583532,-2.465371281313023,2.39940565318582,6.2792606645021545,1.0998985306268547e-07,0.12309868927788005,0.24522710746000934,0.08497728603558669,11.016626737450208
-15.896612812521992,-2.2477244604376563,-1.3083952146505136,-2.5008450898339554,2.5230500183286613,5.389319817415438,1.2479258316783761e-07,0.10563933775712239,0.2702534072827548,0.08201565872938821,12.466561979223902
-15.904635528292339,-2.0167137181963906,-1.1470890992816363,-2.2665809371561667,2.2708472480370783,6.413178094324717,1.2379541309733938e-07,0.13309212542265145,0.3175598103670665,0.103666015467351,9.687605142472448
-16.09101648020377,-2.0459340308600247,-1.5849262620687512,-2.628528955573586,2.449384487487484,7.543219928399378,1.0274491434674944e-07,0.12925940130621102,0.20496290610026896,0.07218457088503862,11.581216141523353
-15.971486474062933,-2.1421938438053982,-1.3622225466322415,-2.486916215872786,2.5223560612048277,7.0696358253433615,1.1579013399913142e-07,0.11739700959978022,0.2560909698540912,0.08316603764510506,12.457913720836032
-16.006652953328985,-2.2129338728294345,-1.4134258545975666,-2.6119968889141982,2.7507427157934323,6.777848407063239,1.1178896844411057e-07,0.10937927243226302,0.24330831482106324,0.07338784996216433,15.654254229454834
-15.865820498410782,-2.280616634198018,-1.3920170949181732,-2.7344562507936065,2.489003897422411,5.857186320837724,1.2869500961700197e-07,0.10222115421792059,0.24857340246278328,0.0649293027638556,12.049267833947601
-15.856768481523478,-2.3124481179654692,-1.3860145168661482,-2.6516195813529335,2.461054805017561,5.602314003604703,1.2986524753339044e-07,0.0990185455141598,0.2500699708534496,0.07053688028380296,11.717164347679278
-16.09267451065329,-1.9653490480869145,-1.528240896455257,-2.486124772258842,2.2613574957114224,5.324161327247748,1.0257470129843168e-07,0.1401069740086449,0.2169169112013695,0.08323188492826507,9.596107003039798
-16.055910081491746,-1.9985569663473646,-1.3966892870179175,-2.4215817747116226,2.3840618677457344,6.425908692884692,1.064159801973251e-07,0.13553071757996574,0.24741472865665173,0.08878107467638582,10.848880204977306
-16.152120382828063,-1.911717816533467,-1.5505747583820932,-2.4922297987739452,2.412513902423334,6.125393893247838,9.665475998125636e-08,0.14782623001877043,0.21212601757574992,0.08272529999452663,11.161986048145982
-16.097306354686395,-1.7875512178456472,-1.4167606158712829,-2.30667244431012,1.9748885675530858,6.639654038542151,1.0210068990115817e-07,0.16736951975104258,0.24249829104385093,0.09959209905350871,7.205816647299784
-16.13140860105662,-2.0290418833964,-1.7193200218205564,-2.7746369590452784,2.4099170131537746,5.350016777731942,9.86775275274567e-08,0.1314614161933835,0.17918795039157123,0.062372116212505574,11.133037211081593
-16.130885591176593,-2.0450997383259546,-1.7465266072300936,-2.7634413939950244,2.4123647725494357,5.291018805889875,9.872915034773597e-08,0.1293672864573095,0.17437857806809648,0.06307433080681386,11.160321586687717
-16.335118924644892,-1.631286817356153,-1.7314325965174926,-2.436251800928016,2.199222016888477,6.668249494305769,8.049112358351827e-08,0.19567761070056308,0.17703061477800924,0.0874881607114599,9.017994921871704
-16.05992258480414,-2.032762900742952,-1.5458148903409534,-2.622238723844222,2.3788516322709308,6.038229693397973,1.0598984123802714e-07,0.13097315496095407,0.2131381162446868,0.07264005962619634,10.792501983914608
-15.990754055225382,-2.1972309236091263,-1.6143826067356446,-2.8275080679204363,2.456158754103001,5.53078940413841,1.1358049376419775e-07,0.11111040597191452,0.19901350211491536,0.05916009307171527,11.65993672345813
-15.831535165679412,-2.324672395583975,-1.38394252081798,-2.7437178256340093,2.4673201080858305,5.605252059353227,1.331838722094579e-07,0.0978154835872956,0.2505886520119133,0.064330731302786,11.790806387371463
-16.038321525815736,-2.2287846050204245,-1.6226154756855458,-2.785037802064919,2.6129642788327705,6.294537853075701,1.0830424079952823e-07,0.10765919910181852,0.1973817761423292,0.061726755588032624,13.639422036579356
-16.01528361452147,-2.1482987749995006,-1.5625122328109444,-2.7355882160534466,2.441919474917029,7.009030130121545,1.1082830726614783e-07,0.1166824921927652,0.20960882303031023,0.06485584663151979,11.495084105795849
-16.19040610404285,-2.044185492031968,-1.9275522487480348,-2.850814350005131,2.3782984999837544,3.9161723926492327,9.302420544625141e-08,0.1294856141015793,0.14550392034989573,0.057797234526823296,10.78653395331526
-16.261111795661964,-1.843453934892489,-1.804487849596444,-2.7344096644129476,2.4217180261126408,6.797875080135312,8.667400755208736e-08,0.15826982728707933,0.16455871381081194,0.06493232765552891,11.265196601068856
-16.261042494036317,-1.7924119605235267,-1.7729726050076822,-2.6042618966363498,2.301570367799667,5.677199492866447,8.668001440985217e-08,0.16655795358844702,0.16982740794826917,0.07395770548774766,9.989857894651374
-16.142191529281934,-1.8353765311822898,-1.5320190163134,-2.450037667295524,2.233052075636359,6.519518043440439,9.761921096078734e-08,0.15955341362082834,0.21609891932029146,0.08629033611456298,9.328293333163318
-16.14383758098643,-1.763223852501424,-1.479816756619663,-2.3587693142057105,2.04928700052751,5.782527641534269,9.745865686861411e-08,0.17149110964895464,0.22767940530538244,0.09453649635687167,7.762364570923575
