beta_log__,sigma_log__,gamma_log__,kappa_log__,tint_log__,dispersion,beta,sigma,gamma,kappa,tint
-16.380990632632276,-0.38041489889584357,-1.6151463709275753,-1.2172878274630443,2.9632936312501674,13.900006331123276,7.688226335376931e-08,0.6835777347209496,0.19886156075935865,0.29603196889597405,19.36163694561803
-16.15672318251164,-0.8551522873711286,-1.48009531036408,-1.2989637113615118,2.896572247963549,22.62609635200238,9.621089976605358e-08,0.42521843075433424,0.22761599318675954,0.2728143610204702,18.111955552170112
-16.21513266400496,-0.7822862967826585,-1.5872985169344394,-1.3518177698878235,2.9008165857776826,22.559296403264664,9.075224153421433e-08,0.45735915628306556,0.20447725811713494,0.2587694495491364,18.188992179095084
-16.12926489533287,-0.9416631673568786,-1.42141972650431,-1.252778965200685,2.943154107902824,23.666094605932212,9.88892900051448e-08,0.38997869585751216,0.24137109258775044,0.28570971526360844,18.97560312277091
-16.082321968461585,-0.8364505740476398,-1.2836537098504726,-1.1615800113416215,2.8576397422123447,22.43657265578159,1.0364212596745532e-07,0.4332455706214195,0.2770232864143269,0.3129912602544335,17.420361830884495
-16.236183178069997,-0.5008647289056863,-1.3246625129792162,-1.0622777217609498,2.954118699497154,14.181273381445946,8.886182710200222e-08,0.6060064018221389,0.26589267927655286,0.3456675784189295,19.1848076866531
-16.405315866303834,-0.10376801600007798,-1.5099113291486457,-1.071165125184152,2.903475536188978,17.56440264517724,7.503464728340114e-08,0.9014343915228368,0.22092956710367673,0.3426091022861828,18.237420162601847
-16.217840705400246,-0.6294100877704389,-1.5232996350324661,-1.2753465365250798,2.7990563470384475,14.092315826216888,9.050681317249326e-08,0.5329060761119252,0.21799140686237373,0.27933415196083433,16.429136050989303
-16.090658329819547,-0.6116925384194405,-1.1453787320788023,-1.0361313727138028,2.8662679812627294,19.18236025967192,1.0278171906771872e-07,0.5424320046793552,0.3181034190043279,0.35482471475026967,17.571319188670728
-16.083948896467387,-0.9814018808461605,-1.3181906894143505,-1.1954776013658894,2.952247998240249,14.248348959512224,1.0347364478068129e-07,0.3747853260320978,0.2676190702070256,0.3025594168785196,19.148952190717278
-16.24096678715995,-1.0211884715974808,-1.811206752486884,-1.507134690632086,2.9244141710311307,14.855024164859563,8.843776194774402e-08,0.3601666378914492,0.16345676587900687,0.22154386109064644,18.623312777434204
-16.31390876302696,-0.8127927645600346,-1.8533692630469358,-1.544649026347011,2.993488777644893,25.09730090186698,8.221658732004248e-08,0.44361741561025403,0.15670828441100682,0.21338675120926676,19.955180376937655
-16.225321099232136,-0.5679039652991937,-1.4295781276543746,-1.1894445748788982,2.8604292330153065,10.518764869617666,8.983231247612822e-08,0.5667120427904837,0.23940990135876097,0.3043902831335127,17.46902360923344
